dataset,phase,trial_id,profile_id,seed,horizon,test_mse,test_mae,checkpoint_sha256,test_tuned,test_informed
Exchange,H2,Exchange__h2_lookback336,h2_lookback336,2021,192,0.20626730824320605,0.31759870435976684,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b,True,True
Exchange,H2,Exchange__h2_lookback336,h2_lookback336,2021,336,0.3804623336287274,0.44352822689009147,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b,True,True
Exchange,H2,Exchange__h2_lookback336,h2_lookback336,2021,720,0.9102533173058753,0.722978127172281,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b,True,True
Solar,H5A,Solar__h5a_seq512_p4_lr2p5e4,h5a_seq512_p4_lr2p5e4,2021,96,0.16593113466767656,0.19540053302962504,e852804aa7b1d2654fa7524a61cfbb724adcc8b7db2cdb44e5decb8eda323963,True,True
Solar,H5A,Solar__h5a_seq512_p4_lr2p5e4,h5a_seq512_p4_lr2p5e4,2021,192,0.18483823718649336,0.20649918386066013,e852804aa7b1d2654fa7524a61cfbb724adcc8b7db2cdb44e5decb8eda323963,True,True
Solar,H5A,Solar__h5a_seq512_p4_lr2p5e4,h5a_seq512_p4_lr2p5e4,2021,336,0.19627804966282963,0.2139648905717176,e852804aa7b1d2654fa7524a61cfbb724adcc8b7db2cdb44e5decb8eda323963,True,True
Solar,H5A,Solar__h5a_seq512_p4_lr2p5e4,h5a_seq512_p4_lr2p5e4,2021,720,0.20615282297339788,0.21971453196986784,e852804aa7b1d2654fa7524a61cfbb724adcc8b7db2cdb44e5decb8eda323963,True,True
Weather,H4N,Weather__h4n_seq608_p19_lr2e5,h4n_seq608_p19_lr2e5,2021,96,0.1410607618772622,0.18159428257633217,6c6619f047204a5b0c63b02c30562f0e765ad6855d8468e0f0151bc2e5c25ca8,True,True
Weather,H4N,Weather__h4n_seq608_p19_lr2e5,h4n_seq608_p19_lr2e5,2021,192,0.18213667199495437,0.22313626947867732,6c6619f047204a5b0c63b02c30562f0e765ad6855d8468e0f0151bc2e5c25ca8,True,True
Weather,H4N,Weather__h4n_seq608_p19_lr2e5,h4n_seq608_p19_lr2e5,2021,336,0.23218611821442647,0.26377962898612267,6c6619f047204a5b0c63b02c30562f0e765ad6855d8468e0f0151bc2e5c25ca8,True,True
Weather,H4N,Weather__h4n_seq608_p19_lr2e5,h4n_seq608_p19_lr2e5,2021,720,0.30416474674338456,0.3147720183854933,6c6619f047204a5b0c63b02c30562f0e765ad6855d8468e0f0151bc2e5c25ca8,True,True
